"","SB","RB","SP","RP","TPA","RLD","SRL","MC","ALP","TOAA","AP","Ca-Pi","NaOH-Po","MBP"
"SB",NA,5.41382054874973e-06,0.682568450562958,0.845702921143273,0.00380473341978549,0.0120989248861305,0.402049172290501,0.181999058768043,0.000560834566583956,7.65822985697717e-05,0.0185102401225403,0.00078414751384992,0.00201393048127052,7.50548964139064e-05
"RB",5.41382054874973e-06,NA,0.67094835885941,0.681283041367673,0.0145920984820682,0.000425671538901717,0.127380165177952,0.17043362285217,0.0018451024393813,0.000419337011477783,0.0144767272308171,0.00061996203638337,0.00550759684079605,0.00121785981822953
"SP",0.682568450562958,0.67094835885941,NA,0.200715976612156,0.0146093132858034,0.766373430833253,0.875657384982344,0.128011150090257,0.15070503927812,0.432230370268476,0.427025766879221,0.512988681216649,0.67730815798829,0.443001790202098
"RP",0.845702921143273,0.681283041367673,0.200715976612156,NA,0.0824255538166765,0.0938541925534939,0.00709753136310587,0.280208970211536,0.342830989017787,0.578818272719005,0.993736077667489,0.965475454444574,0.485755324474182,0.261561692917043
"TPA",0.00380473341978549,0.0145920984820682,0.0146093132858034,0.0824255538166765,NA,0.214240786513333,0.996322438487181,0.0328338637227508,0.00018444193598377,0.00238243941486438,0.0534179446440624,0.0168392333578802,0.0619615518018684,0.000700665118160693
"RLD",0.0120989248861305,0.000425671538901717,0.766373430833253,0.0938541925534939,0.214240786513333,NA,0.000375924245136883,0.529501448796259,0.134462300442293,0.0456855819222,0.055865105203337,0.0317896508651918,0.17394956828031,0.097495994821529
"SRL",0.402049172290501,0.127380165177952,0.875657384982344,0.00709753136310587,0.996322438487181,0.000375924245136883,NA,0.891618294081665,0.98978652169378,0.6244743176302,0.357088575904821,0.462688066809987,0.887813688713699,0.84961161701462
"MC",0.181999058768043,0.17043362285217,0.128011150090257,0.280208970211536,0.0328338637227508,0.529501448796259,0.891618294081665,NA,0.0721711435057899,0.41456738813512,0.856063115133419,0.211208070886791,0.56993980974495,0.137738425916914
"ALP",0.000560834566583956,0.0018451024393813,0.15070503927812,0.342830989017787,0.00018444193598377,0.134462300442293,0.98978652169378,0.0721711435057899,NA,4.22999229385823e-05,0.0092823285785284,0.000562054285083047,0.00474103678259441,0.00107211363914073
"TOAA",7.65822985697717e-05,0.000419337011477783,0.432230370268476,0.578818272719005,0.00238243941486438,0.0456855819222,0.6244743176302,0.41456738813512,4.22999229385823e-05,NA,0.00147203145949715,0.000509047185069278,0.000289056751207939,0.000163680750398854
"AP",0.0185102401225403,0.0144767272308171,0.427025766879221,0.993736077667489,0.0534179446440624,0.055865105203337,0.357088575904821,0.856063115133419,0.0092823285785284,0.00147203145949715,NA,0.0303436057052644,0.0356540374319394,0.0257046250088131
"Ca-Pi",0.00078414751384992,0.00061996203638337,0.512988681216649,0.965475454444574,0.0168392333578802,0.0317896508651918,0.462688066809987,0.211208070886791,0.000562054285083047,0.000509047185069278,0.0303436057052644,NA,0.0141797454012287,0.0211444334140667
"NaOH-Po",0.00201393048127052,0.00550759684079605,0.67730815798829,0.485755324474182,0.0619615518018684,0.17394956828031,0.887813688713699,0.56993980974495,0.00474103678259441,0.000289056751207939,0.0356540374319394,0.0141797454012287,NA,0.00197714535982696
"MBP",7.50548964139064e-05,0.00121785981822953,0.443001790202098,0.261561692917043,0.000700665118160693,0.097495994821529,0.84961161701462,0.137738425916914,0.00107211363914073,0.000163680750398854,0.0257046250088131,0.0211444334140667,0.00197714535982696,NA
